Location
Aamtep
Aaptar
AathbisDanda
AathbisKot
Abhirawa
Achalgadh PHC
Achham
Adghuri
Aekamba
Aginchok H.P
Aglung
Agra HP
Agragaun
Agyauli
Ahale
Ainselukharka
Ajagaibi
Ajayameru
Ajigara
AKHIKARICHAUR
Akolwa
Alamdevi
Alampu
Alapot
Alau
Alital
Ama
Amaduwa
Amahi Bariyati
Amahibelaha
AMALACHAUR
Amale
Amao
Amara Arwathok
Amarapuri
Amaraut
Amarban
AMARBHUMI
Amardaha
Amargadhi N.P.
Amarpatti
Amarpur
Ambegudin
Ambote
Ambung
Ambyanjang HP
Amchaur
Amchok
Amgachhi
Amkar
Amlekhgunj
Amritgunj
Anaikot HP
Anandaban
Anarmuni
Anbu Khairini
Andheri(Narayansthan)
Andupatti
Angdeem
Angkhop
Angna
Angsarang
Ankhibhui
Ankhisalla
Annapurna
Anp Chaur
Aourahi
Apipal DC
Arba Bijaya
Arbeni
Archalbot
Archale
Archhani
Aresh
ARGAL
Argali
Argha
Arghakhanchi
Arghatosh
Arjai
ARJEWA
Arjun Chaupari
Arjundhara
Arkha - Devisthan
Arkhabang
Arkhale
Arkhaule
ArkhauleJitpur
Arlangkot
Arma
Armala
Arman
Arnaha
Arnamalalpur
Arnamarampur
Arther
Arthurge
Aru Arbang
Arubote
Aruchanaute VSS
Aruchaur
Arukharka
Arun thakur
Arunodaya
Arupokhari
Asanpur
Ashigram
AshokpurBalkawa
Ashrang
Ashrang HP
Ashuraina
Aslewa
Asurkot
Atichaur
Attarpur
Attrauli
Aurabarni
Auraha
Aurahi
"Aurahi,"
Auraiya
Awalching
AwalParajul
Ayodhyanagar
Ayodhyapuri HP
Babala
Babare
Babarganj
Babiya
Babiyabirta
Babiyachaur
Babuayan
Bachanpurwa
Bachha
Bachhauli HP
Bad dada DC
BadaBhairab
Badagaun
Badaharadubauliya
Badahare
BadakaDiyale
BadaKhola
Badalamji
Badalkot
Badalpur
Badbanjyang
Baddhu
Badegaon
Badegaun PHCC
Badgama
Badharamal
Badhwan
Badikhel HP
Badikot
Badiya Banchauri
Badki
Badki Fulbariya
Bafai
Baflikot
Bafukhola
Bagada
Bagaha
Bagahi
Baganaha
Bagarkot
Bagauli
Bagbana
Bagdaha
Bageshwari
Bageshwori
Bageswari
Bageswori
Baghachaura
"Baghauda hospital, madi"
Baghmare
Baglung
BAGLUNG NA.PA.
Baglung Pani
Baguwa
Bagwatipur
Bahadurgunj Hospital
Bahadurpur
Bahakot
Bahera Bela
Bahirigaon
Bahrabise
Bahuari
Bahuarwa
Bahuarwa Bhata
Bahundada
Bahundangi
Bahunee
Bahunidanda
Bahuntilpung
Bahuwari Pidhar
Bai
Baidauli
Baidi
Baigundhara
Baijinath
Baijnathpur (Jhapa)
Baikuntha
Bairawa
Baireni H.P
Bairgiya Laxminiya
Bairia Birta Dapu Pipra
Bairiya
Bairiya Birta Nataj
BaisiBichawa
Baitadi
Bajedichaur
Bajhang
BajhKanda
Bajho Gaom
Bajrabarahi
Bajung
Bajura
Bakachol
Bakalauri
Bakamalang
Bakdhauwa
Baksa
Baksila
Baku
Bala
Balabakhar
Balajor
Balakhu
Balakot
Balambhu
Balamta
Balara
Balaramwapur
Baldeng Gadhi
Baletaksar
Balethum
Balhagoth
Balhasghara
Bali Rampur
Baliya
Balkot
Balkumari
Balla Kathal
Balthali HP
Balubari
Baluhawa
Baluwa
Baluwatar
Bamangamakatti - Topa
Bame
Bamgha
Bamrang
BamtiBhandar
Bana
Banainiya
Banakatawa
Banakatti
Banarjhula
Banau
Banaula
Banauli
Banauta
Bandi Pokhara
bandipur
Baneswor
Banethok Deurali
Bang Singh
Bange Phatke
Bangesal
Bangi
Bangre
Banigama
Baniniya
Baniyabhar
Baniyani
BanjaKakani - Mauwa
Banjarha
Banjaria
Banjh
Banjhakhet
Banjhkateri
Banke
Bankhu HP
Banlek-Dankot
Bannatoli
Banpur
Bansar
Bansi
Banskharka
Bara
Bara DHO
Baradadivi
Baraha
Barahachhetra-Chatara
Barahapokhari
Barai
Baraigaun
Barainiya
Baraipur
Baramchi
Baramjhiya
Barangdi
Barangja
Baraula
Barbote
Barchhawa
Barchhen
Bardanga
Bardibas
Bardiya
Bargaun
Barhabise
Barhathuwa PHC
Barhudhoran
Bariharpur
Bariyapur
Bariyarpatti
Barjiwang
Barkulpur
Barnalu
Barpak
Barrachaur
Barsadaluwa
Barsain(Ko.)
Baruneshwor - Rampur
Baruwa
Basa
Basabitti
Basabote
Basahiya
Basamadi HP
Basanpur
Basantapur
Basantatar
Basatapur
Basauti
Basbalpur
Basbari
Basbiti
Basbitti Jingadia
Baseri H.P
Baseswor
Bash wad HP
Bashaha
Bashkhor
Basikhola
Basingtharpur
Baspani
Basteem
Basti
Bastipur
Bastu
Basudevapur
Basudevi
Basuling
Basunchet
BATAKACHAUR
Batara
Batase
Bateswor
Bathanaha
Bathnaha
Batraul
Batulasen
Batule Chaur
Baugha Gumba
Baugha Pokharathok
Bauwapati HP
Bayala
Bayarban
Bayarghat
Beg Khola
Begnas
Behuliwas
Bejapur
Bekhsimle HP
Bela
Beladevipur
Belaha
Belahari
Belahi laxmipur sukchaina
Belapur
Belawa
Belbari
Belbhar
Beldandi
Beldari
Belgachi
Belghari
Belhara
Belhi
Belhichapena
Belkot
Belpata
Beltar
Belwa
Belwajabdi
Belwaspur
Benauli
Benga Dawar
Bengashivapur
Beni
Benighat H.P
Benimanipur
Besishahar
Betahani
Betali
Betan
Betauna
Bethan
Betini
Betini HP
Betkuiya
Bhachok
Bhachyak
Bhadaiya
Bhadaure
Bhadaure Tamagi
BhadgauSinawari
Bhadrabas
Bhadrakali
Bhadrapur
Bhadrapur N.P.
Bhadratar
Bhadsar
Bhagabati
Bhaganpur
Bhagawati
Bhagawatipur
BhagawatiTol
Bhagawatpur
Bhageswor
Bhagwanpur
Bhagyaswori
Bhairabanath
Bhairabsthan
Bhaise HP
Bhaisipankha
Bhajani
Bhakanje
Bhakimli
Bhaktapur
Bhaktapur N.P.
Bhaktipur HP
BHAKUNDE
Bhalakacha
Bhalam
Bhalawad
Bhalaya Kharka
Bhalchaur
Bhalche
Bhalohia Pipra
Bhaluhi Bharkhaliya
Bhaluwa
Bhaluwajor
BhaluyeeArwaliya
Bhalwari
Bhamchaur
Bhanbhane
Bhandara HP
Bhangaha
Bhangaha Sitapur
Bhangara
Bhanu
Bhanumati
Bharat Pokhari
Bharatgunj Sindhaul
Bharatipur
Bharatpur
Bharatpur N.P.
Bharaul
Bhardaha
Bhardeu
Bharpa
Bharse
Bharta HP
Bharte
Bhasedwa
Bhat Khola
Bhatakatiya
Bhatana
